"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1556416_s_at",-2.75793077449389,6.7454614242124,-11.835347980329,1.23442243773089e-06,0.00141090694154765,6.02752311680302
"204870_s_at",-6.6119642702456,3.30957095836707,-11.8245855432254,1.24365120702747e-06,0.00141090694154765,6.02079661338734
"218567_x_at",2.47617752487889,6.64607569188961,11.7909166987963,1.27302003494874e-06,0.00141090694154765,5.99970480384852
"219093_at",-3.58127964606081,7.31808526315071,-11.7808078746456,1.28198736652773e-06,0.00141090694154765,5.99335765783994
"227719_at",-3.16789904018089,7.59127024291131,-11.7462193987524,1.31320423385604e-06,0.00141090694154765,5.97158940607929
"236420_s_at",-2.94929083188168,5.65326326793847,-11.7430873832881,1.3160723185904e-06,0.00141090694154765,5.9696143839023
"226225_at",-3.26990661470426,8.47489891581618,-11.6075433038143,1.44710999797348e-06,0.00143072194790028,5.88351789129249
"209262_s_at",2.74453964206714,8.53200320159575,11.6028832515879,1.45186549298302e-06,0.00143072194790028,5.88053604968317
"222008_at",5.68455256412033,3.63957139213884,11.6022762903275,1.4524861601711e-06,0.00143072194790028,5.88014756414297
"206772_at",5.7958381979435,4.5281566011316,11.5919761269601,1.46306391003009e-06,0.00143072194790028,5.87355116733551
"1556696_s_at",-2.73202531615726,4.80164449525159,-11.576265838357,1.47936250169523e-06,0.00143072194790028,5.86347627954777
"230068_s_at",-4.12500544249937,6.07176878227294,-11.5646318022303,1.49156197586311e-06,0.00143072194790028,5.85600473356762
"220339_s_at",-2.97724309932818,3.86957962105054,-11.5114543430899,1.5487628650108e-06,0.00145048846948044,5.82173675578283
"209772_s_at",5.50932291304255,6.2718047805595,11.4965506368699,1.56522761224226e-06,0.00145048846948044,5.81209822411471
"1555997_s_at",-3.77400468923786,7.00957933258525,-11.4261225381479,1.64570412306932e-06,0.00146517932141658,5.76634551564712
"226751_at",-2.67699718078278,8.04064373919477,-11.4000053630555,1.67670521102738e-06,0.00146517932141658,5.74929220638945
"202411_at",5.47350976285642,8.9401554144746,11.3932711482049,1.68480335663407e-06,0.00146517932141658,5.74488743939293
"219368_at",-3.04909221085101,5.92365768412775,-11.3876944086795,1.69154242917201e-06,0.00146517932141658,5.74123738898962
"219215_s_at",2.79125819071292,6.80860356349094,11.3568136425781,1.72940476381347e-06,0.00146517932141658,5.72098651313557
"218293_x_at",3.16860984759851,1.60573178794683,11.3308279063834,1.76199417627467e-06,0.00146517932141658,5.70389434359098
"226791_at",2.7007935433992,5.31457345255561,11.302851973419,1.79784268799009e-06,0.00146517932141658,5.6854404681306
"212949_at",4.53253845053745,2.59744307866603,11.2853967304882,1.82061924565683e-06,0.00146517932141658,5.67389864975257
"1563933_a_at",-5.93896881215568,3.5362873398443,-11.2709189658372,1.83975346364554e-06,0.00146517932141658,5.66430938956914
"202575_at",4.94638384486082,7.9485947018254,11.2595202036218,1.85497529296959e-06,0.00146517932141658,5.65674911878695
"232567_at",4.63525597368197,5.03862068629579,11.2263277114274,1.90010143843313e-06,0.00146517932141658,5.63468190363444
"204962_s_at",4.2001151476771,4.57781138431409,11.2154685682932,1.91512792183039e-06,0.00146517932141658,5.62744556339429
"239201_at",-2.25709559975697,5.63259866094007,-11.2052030040224,1.92945425042512e-06,0.00146517932141658,5.62059709096045
"221480_at",-2.29719049031182,7.31748900834564,-11.1817884620625,1.96257754852616e-06,0.00146991681459819,5.6049485377365
"210084_x_at",3.78879525594995,1.9087175625127,11.1627717022812,1.98994369155149e-06,0.00147027258561592,5.59221042403787
"32137_at",3.50016256224402,6.09592696606967,11.136789661674,2.02801949536168e-06,0.00147179319347746,5.5747649780677
"221146_at",5.92094472938157,2.97838112247278,11.1163104222102,2.05860052855902e-06,0.00147179319347746,5.56098027939821
"218162_at",-2.25390237388386,9.46787759870529,-11.1063233888985,2.07369901181614e-06,0.00147179319347746,5.55424702527191
"239349_at",-2.75369142919342,6.45424302317572,-11.0859541680518,2.10487534347815e-06,0.00147179319347746,5.54049185619605
"1556936_at",-2.33359945052515,4.4785082933808,-11.0719592267699,2.12659647525778e-06,0.00147179319347746,5.5310238470219
"209890_at",-3.31535076463225,7.07882203664645,-11.034120057147,2.1865798597448e-06,0.00148520508251912,5.50535353263395
"228728_at",-3.04115535205864,8.51870530631012,-10.9989211610678,2.24406520971583e-06,0.00148520508251912,5.48138102463356
"224480_s_at",-3.17872839150936,7.14087577443826,-10.9924651842501,2.25478957272919e-06,0.00148520508251912,5.47697432387513
"209714_s_at",3.49112546461025,5.10240700272307,10.9731234216766,2.28726070201243e-06,0.00148520508251912,5.46375384347882
"230359_at",-2.71336622771925,5.63927700153259,-10.9697922592683,2.29290523336449e-06,0.00148520508251912,5.46147416298523
"212158_at",-3.1883459136091,9.01634930435833,-10.9436629767324,2.3377196382667e-06,0.00148520508251912,5.44356435223886
"209068_at",-2.07026847883892,8.96708018225934,-10.9230715854203,2.3737202060111e-06,0.00148520508251912,5.42941500664573
"236179_at",-3.17247152387428,7.82414852128642,-10.9222235566333,2.37521595746435e-06,0.00148520508251912,5.42883161484836
"210121_at",-5.91623119960301,3.64925549675886,-10.9136180586317,2.39045353930832e-06,0.00148520508251912,5.42290855785707
"201954_at",2.91448917304316,8.67755181466736,10.8685986862392,2.4719550333974e-06,0.00151084989932311,5.39183297132752
"212157_at",-3.0599689581737,6.88455041204855,-10.8596640490275,2.48849352973037e-06,0.00151084989932311,5.38564776069064
"1552910_at",-4.04811703310312,8.5214689801779,-10.829588687867,2.54507216190499e-06,0.00151084989932311,5.36478369147551
"227530_at",-2.4177991255394,9.60927613733106,-10.8175694423611,2.56808055799284e-06,0.00151084989932311,5.35642673492433
"219768_at",4.46654593929765,6.38317087329458,10.8022206736286,2.59779841934231e-06,0.00151084989932311,5.34573904259711
"204653_at",4.46119310773946,5.86454184287942,10.7793475094705,2.64279437538214e-06,0.00151084989932311,5.32977914062896
"236600_at",-2.10573550518929,6.5878445726235,-10.7779176627834,2.64563570660854e-06,0.00151084989932311,5.32878014933669
"225202_at",-2.94142034579396,8.42693375636367,-10.774322196973,2.65279543365375e-06,0.00151084989932311,5.32626742437265
"213518_at",2.30535744483376,9.07984701722553,10.7391855097673,2.72390520893155e-06,0.00151971925842597,5.30166050065182
"224002_s_at",-2.46212540848007,7.5245564085435,-10.7391590585031,2.72395953042057e-06,0.00151971925842597,5.30164194116537
"1553537_at",3.30741562420857,1.89642122568941,10.6952220341458,2.81586984981954e-06,0.00155512812160488,5.27074035752589
"212556_at",1.87003925396289,7.89775096032988,10.6579331670932,2.89657275338899e-06,0.00158018047889228,5.24439924511829
"201584_s_at",2.80167357335106,8.47304900119346,10.635650568727,2.9460193642907e-06,0.00158018047889228,5.22860789791102
