"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1560030_at",3.78196932629338,7.22252426113985,24.0117049457181,5.23401613598926e-34,1.36271348683435e-30,66.9212757320812
"219517_at",4.31364742975823,10.4580543788086,23.5464530073223,1.63930097148203e-33,4.07403548253546e-30,65.8128482690139
"244553_at",-3.2632791198416,4.78630721117555,-22.7626882058096,1.16884132101584e-32,2.77853909680614e-29,63.9021519773188
"1559022_at",-3.17471931345934,5.25414954250248,-22.5246287137296,2.14501443816586e-32,4.8866110169466e-29,63.310715851182
"233611_at",-3.11041088907484,5.26805884598566,-22.4382758252687,2.67676595432454e-32,5.85408714210777e-29,63.094878373592
"229567_at",-2.29315342680727,6.1369552731123,-22.3093460291103,3.7303385065653e-32,7.84447145563299e-29,62.7713202301098
"1560149_at",-3.4566305642355,5.91489849050137,-22.0206836260738,7.88509872967624e-32,1.59673249275944e-28,62.0412034125533
"242827_x_at",-2.31455873782506,5.57561279305003,-21.8367795988696,1.27529391631173e-31,2.49023910265513e-28,61.5719002269537
"243866_x_at",-3.74439860045865,5.56338121609394,-21.7342794716245,1.66944610558796e-31,3.14748158010421e-28,61.3089138077818
"241857_at",-2.22823044637887,5.65985996398492,-21.6328208049643,2.18152892926599e-31,3.97583647358726e-28,61.0475936204842
"240108_at",-3.61331552365232,5.41224339800599,-21.3456491121031,4.67608761628019e-31,8.24726098129417e-28,60.3024728346569
"205215_at",-2.43061672134158,5.49720619535765,-21.3197396316632,5.01098156738784e-31,8.56173178740407e-28,60.2348451717803
"1563283_at",-3.05321094946191,5.10216271067059,-21.2539504691088,5.97481467836229e-31,9.8991815921048e-28,60.0628255400886
"229327_s_at",-3.9324312043469,5.22800795486469,-20.9742813736921,1.26795677971393e-30,2.03898638031938e-27,59.3267363548796
"208714_at",2.89868958841012,11.4735864156311,20.4870148262391,4.78958399202529e-30,7.48201442182808e-27,58.0252725209023
"1557422_at",-3.03107072437475,5.51983028800106,-20.4517763524105,5.27754479982231e-30,8.01527116473013e-27,57.9302042005048
"207316_at",-3.77304347749093,6.52416515544494,-20.4173966960585,5.80217335163199e-30,8.57388724325619e-27,57.837328400084
"234118_at",-2.56921802716248,5.84568490954551,-20.392885961379,6.20819967277818e-30,8.93245571339861e-27,57.7710380772169
"1554789_a_at",-2.80589606041921,5.23787937064196,-20.3570046123945,6.85511277218989e-30,9.61034079024313e-27,57.6738824088718
"1569760_at",-7.04185162307254,2.4155295843972,-20.3254223988786,7.48086298044551e-30,1.00637719937204e-26,57.5882561599166
"231496_at",-3.21827591366208,4.57342769284345,-20.3222574661215,7.54667858696908e-30,1.00637719937204e-26,57.5796695863141
"236739_at",-3.71558944604151,5.44728026347283,-20.2742559443308,8.61996515279617e-30,1.12213474935507e-26,57.449311114801
"241833_at",-4.61497885910254,4.02897650299817,-20.2293765292095,9.76314196418928e-30,1.24139485323732e-26,57.3272126763254
"213898_at",-2.1029404452435,5.78162104789076,-19.9286896400578,2.26058484718154e-29,2.76769458523711e-26,56.5036783682422
"1554117_at",-4.03121936691987,6.82143313193195,-19.9259659809395,2.27793793023631e-29,2.76769458523711e-26,56.4961747788916
"213228_at",-2.88922629403914,6.7104425830445,-19.8719467456255,2.65141547201994e-29,3.15143784636284e-26,56.3471897285274
"1559283_a_at",-2.34113727159907,4.49329667408093,-19.8188797902173,3.07877203581034e-29,3.58152895867937e-26,56.200526691036
"234940_s_at",-2.60995627992542,4.81945140129036,-19.7770140784448,3.46471006054235e-29,3.94652130333652e-26,56.0846075190099
"209322_s_at",-1.70516551728933,6.90505920061532,-19.7180196939927,4.09329760677765e-29,4.49448617489728e-26,55.9209415791061
"206074_s_at",4.73050411522901,11.5644112375603,19.7165645421893,4.11018397338572e-29,4.49448617489728e-26,55.9168998615614
"1570126_at",-2.65691697244376,5.44560487538392,-19.6699529094591,4.69010994061771e-29,5.02807374516222e-26,55.7873139398368
"1554098_at",-5.65014512317996,3.87280303574232,-19.5894594073377,5.89388462748723e-29,6.19707965399739e-26,55.5629784337254
"1563533_at",-3.23828303792986,5.46188847899147,-19.5606864991266,6.39644630739429e-29,6.59859814824118e-26,55.4826176369039
"235116_at",-1.96610683792386,5.19839971909903,-19.4307550408779,9.26578494213942e-29,9.38160725391617e-26,55.118603997009
"1563770_at",-2.02761942805732,5.4842407956794,-19.3279575849785,1.24382410869584e-28,1.23647423896264e-25,54.829298975538
"1553129_at",-2.11371776324662,5.08381162428543,-19.2424360654782,1.59042437256158e-28,1.55279379588936e-25,54.5877277853376
"204719_at",-5.04167460081371,6.61281033315891,-19.1710012041112,1.95407157300404e-28,1.87436602199993e-25,54.3853273517505
"242142_at",-2.67862156173605,5.80601443134815,-19.1340920619172,2.17389298282435e-28,2.04926894544692e-25,54.2805289091898
"213852_at",3.13094862477169,11.5885233650906,19.1138804510613,2.30471714722908e-28,2.13576966143644e-25,54.2230766793521
"232537_x_at",-3.18816037420485,5.17592999277251,-19.0708525615668,2.61041853572304e-28,2.37874389067762e-25,54.1006169498472
"215109_at",-1.74137269112947,6.38860364413313,-18.9821955153486,3.37626096091359e-28,3.02618144324509e-25,53.8476429169456
"204364_s_at",-4.65035969137311,6.57749850107066,-18.9630868245221,3.56914915387422e-28,3.14747145142053e-25,53.7930030276278
"215390_at",-2.26379255532141,5.58585254434271,-18.8921450317063,4.3882603152215e-28,3.77907758487121e-25,53.5897919670178
"209706_at",-3.43969262653055,6.59584792934887,-18.889393724076,4.42361162198001e-28,3.77907758487121e-25,53.5818995254645
"1570021_at",-2.92054019256322,4.22229834011074,-18.8499228563535,4.96371615470138e-28,4.17524893474304e-25,53.4685790469024
"1562296_at",-2.23202714030201,5.41084611127956,-18.8438134111303,5.05309284191049e-28,4.18602804744631e-25,53.4510232088899
"239268_at",-1.98018543933365,6.49836711473914,-18.8222582493431,5.38165397591357e-28,4.39167061392649e-25,53.3890496134685
"228601_at",3.69622830971653,9.75133260543294,18.7453402879276,6.74093834171655e-28,5.42001182107871e-25,53.167473868753
"236137_at",-1.70364184783419,6.58412471489203,-18.6840437169446,8.06976983384738e-28,6.39441544442907e-25,52.9904187207946
