"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218069_at",1.24367318136663,8.26177056692933,6.05458171378896,0.000223218984556647,0.00663788992410513,0.964000981423183
"234330_at",-1.44227118499327,4.12159104078681,-6.05390557062794,0.000223397150062393,0.00663788992410513,0.963186243182212
"1556919_at",-1.40679163172251,4.96861654213808,-6.05377007083878,0.000223432873293449,0.00663788992410513,0.963022960874855
"225381_at",-1.69031466631269,8.87111060899672,-6.05344055395427,0.000223519773326509,0.00663788992410513,0.962625869683996
"229511_at",-1.3003337418371,6.02700969825999,-6.05312316620811,0.000223603509573105,0.00663788992410513,0.962243380175786
"206832_s_at",2.52536337737584,3.47703300713839,6.05302119260708,0.00022363042048837,0.00663788992410513,0.962120486930548
"207130_at",2.19599513711564,5.13781778370467,6.05074790275855,0.000224231262907248,0.00665211302194998,0.959380448060335
"236024_at",-1.69970081911635,5.1183354483062,-6.04923163351704,0.000224633000951106,0.00666041720553238,0.957552446358203
"206869_at",-1.63061133743863,4.42255816828563,-6.04856594797093,0.000224809623713615,0.00666204128809859,0.956749796691689
"201710_at",2.4557827353577,5.2223248121548,6.04629477293785,0.000225413364844991,0.00667544190960124,0.954010849039634
"234148_at",1.72927524705895,5.98602202403525,6.04594683755699,0.000225506012017073,0.00667544190960124,0.953591186993902
"203640_at",-1.44394390640426,9.25260736990922,-6.04452905799988,0.000225883964284151,0.00667940812844777,0.951880952604101
"1564840_at",-3.69471688200287,3.36036001382731,-6.04452769513969,0.000225884327928668,0.00667940812844777,0.951879308478246
"224815_at",1.2500160620755,8.94260227481137,6.04384014467578,0.000226067864805743,0.00668095295007129,0.951049827917547
"37079_at",3.60423149213865,4.93632870855497,6.0434167857485,0.000226180958584032,0.00668095295007129,0.950539041682648
"216007_at",-4.40200029563481,4.30331968285061,-6.0411313287025,0.000226792551180313,0.00669411996947854,0.947781171470964
"241372_at",-1.22985129908019,6.10855601519568,-6.04083645201573,0.000226871592198331,0.00669411996947854,0.947425287721006
"239270_at",-2.68513784203938,7.68044723382793,-6.04022341357397,0.000227036012051738,0.00669413136897947,0.946685377564388
"225092_at",-1.10942800603684,7.7015398480512,-6.03992219328607,0.000227116848458288,0.00669413136897947,0.946321798201727
"1564315_at",-1.66506937959232,4.97637542102401,-6.03921979486482,0.000227305468406078,0.00669608108033529,0.945473937366249
"226051_at",-1.54026447779019,8.42264709161881,-6.03817338859158,0.000227586784544759,0.0066986895112375,0.944210694768171
"228195_at",3.88309381054363,6.62455305440585,6.03797912977391,0.000227639050971729,0.0066986895112375,0.943976164250679
"1566766_a_at",4.26989620694051,4.47493161089479,6.03687866734203,0.00022793538416361,0.0067029974295177,0.942647462713539
