"gene","MeanDecreaseGini"
"1556173_a_at",0
"236013_at",0
"243945_at",0
"235210_s_at",0
"1559119_at",0
"1554007_at",0
"206884_s_at",0
"235963_at",0
"216761_at",0
"207995_s_at",0
"231148_at",0
"37892_at",0
"228193_s_at",0
"229638_at",0
"206834_at",0
"206725_x_at",0
"237573_at",0
"217996_at",0
"205249_at",0
"223823_at",0
"1553796_at",0
"241206_at",0
"229053_at",0
"207540_s_at",0
"214556_at",0
"220162_s_at",0
"204364_s_at",0
"1564083_at",0
"209890_at",0
"1553537_at",0
"220179_at",0
"220091_at",0
"219937_at",0
"240633_at",0
"233176_at",0
"209074_s_at",0
"211696_x_at",0
"237198_at",0
"214191_at",0
"233177_s_at",0
"222608_s_at",0
"244340_x_at",0
"205922_at",0
"207907_at",0
"219908_at",0
"210150_s_at",0
"215506_s_at",0
"217997_at",0
"230521_at",0
"227862_at",0
"202628_s_at",0
"224400_s_at",0
"1565677_at",0
"213667_at",0
"205792_at",0
"230908_at",0
"227875_at",0
"240863_at",0
"213622_at",0
"209369_at",0
"1570579_at",0
"234855_at",0
"232724_at",0
"217414_x_at",0
"236982_at",0
"227690_at",0
"244282_at",0
"1566272_at",0
"210059_s_at",0
"1557166_at",0
"1565162_s_at",0
"244658_at",0
"243363_at",0
"235335_at",0
"230883_at",0
"239045_at",0
"204018_x_at",0
"231559_at",0
"244112_x_at",0
"215172_at",0
"238862_at",0
"204026_s_at",0
"211699_x_at",0
"238327_at",0
"244503_at",0
"222083_at",0
"203413_at",0
"1566033_at",0
"218779_x_at",0
"215085_x_at",0
"1563502_at",0
"234149_at",0
"222155_s_at",0
"235597_s_at",0
"243566_at",0
"232830_at",0
"224428_s_at",0
"1552594_at",0
"229252_at",0
"233291_at",0
"231941_s_at",0
"239239_at",0
"244418_at",0
"233502_at",0
"210641_at",0
"224355_s_at",0
"227461_at",0
"1561605_at",0
"228153_at",0
"241537_at",0
"231980_at",0
"233222_at",0
"239185_at",0
"1559147_at",0
"230563_at",0
"205289_at",0
"220023_at",0
"1559280_a_at",0
"231686_at",0
"210602_s_at",0
"229661_at",0
"222560_at",0
"1555233_at",0
"1554789_a_at",0
"241612_at",0
"241672_at",0
"209792_s_at",0
"215646_s_at",0
"227834_at",0
"1559910_at",0
"229674_at",0
"217420_s_at",0
"238750_at",0
"208539_x_at",0
"244289_at",0
"204712_at",0
"227055_at",0
"201631_s_at",0
"209408_at",0
"233398_at",0
"211745_x_at",0
"213362_at",0
"235540_at",0
"205167_s_at",0
"1560404_a_at",0
"209613_s_at",0
"211632_at",0
"232816_s_at",0
"209458_x_at",0
"220878_at",0
"227613_at",0
"242605_at",0
"237197_at",0
"1559748_at",0
"205681_at",0
"209823_x_at",0
"201131_s_at",0
"204318_s_at",0
"242541_at",0
"211429_s_at",0
"231467_at",0
"1559351_at",0
"242090_x_at",0
"209894_at",0
"205932_s_at",0
"1559255_a_at",0
"210809_s_at",0
"208433_s_at",0
"227756_at",0
"218332_at",0
"214768_x_at",0
"209612_s_at",0
"1567013_at",0
"237127_at",0
"207433_at",0
"230865_at",0
"1561230_at",0
"203295_s_at",0
"221373_x_at",0
"211644_x_at",0
"235141_at",0
"230109_at",0
"209125_at",0
"205505_at",0
"220169_at",0
"223842_s_at",0
"237102_at",0
"244398_x_at",0
"1570255_s_at",0
"206137_at",0
"236184_at",0
"221159_at",0
"213992_at",0
"1556579_s_at",0
"243270_at",0
"1558414_at",0
"205242_at",0
"220102_at",0
"1559194_a_at",0
"235465_at",0
"1564984_at",0
"1554960_at",0
"1560652_at",0
"1563386_at",0
"211919_s_at",0
"242718_at",0
"240776_at",0
"236853_at",0
"238878_at",0
"204973_at",0
"226034_at",0
"236340_at",0
"234411_x_at",0
"1559889_at",0
"232276_at",0
"204779_s_at",0
"212158_at",0
"1555313_a_at",0
"220803_at",0
"206932_at",0
"206742_at",0
"1564014_at",0
"215427_s_at",0
"229506_at",0
"205847_at",0
"212664_at",0
"1556528_at",0
"1555394_at",0
"222325_at",0
"225987_at",0
"235642_at",0
"1566948_at",0
"1570373_at",0
"240573_at",0
"208219_at",0
"202873_at",0
"227705_at",0
"208235_x_at",0
"224480_s_at",0
"232566_at",0
"205601_s_at",0
"214084_x_at",0
"206008_at",0
"203046_s_at",0
"238755_at",0
"205432_at",0
"233536_at",0
"1563821_at",0
"1553197_at",0
"234643_x_at",0
"236179_at",0
"204328_at",0
"237038_at",0
"235229_at",0
"211075_s_at",0
"1552532_a_at",0
"220234_at",0
"239922_at",0
"228415_at",0
"1560225_at",0
"219855_at",0
"204908_s_at",0
"212092_at",0
"207651_at",0
"208850_s_at",0
"1570224_at",0
"228547_at",0
"231220_at",0
"234242_at",0
"237352_at",0
"222773_s_at",0
"235706_at",0
"211908_x_at",0
"218293_x_at",0
"233045_at",0
"207955_at",0
"244195_at",0
"216050_at",0
"225809_at",0
"1560834_a_at",0
"220670_at",0
"1557241_a_at",0
"214242_at",0
"238017_at",0
"243241_at",0
"220370_s_at",0
"218807_at",0
"210665_at",0
"202975_s_at",0
"213759_at",0
"212671_s_at",0
"1558523_at",0
"232629_at",0
"1552911_at",0
"212873_at",0
"207833_s_at",0
"215666_at",0
"1556679_at",0
"216646_at",0
"215049_x_at",0
"1566805_at",0
"241230_at",0
"228806_at",0
"231054_at",0
"205221_at",0
"225173_at",0
"237041_x_at",0
"1556944_at",0
"202589_at",0
"220793_at",0
"226817_at",0
"216560_x_at",0
"232238_at",0
"222268_x_at",0
"1553191_at",0
"211751_at",0
"216717_at",0
"216005_at",0
"223393_s_at",0
"205952_at",0
"229163_at",0
"233238_s_at",0
"205287_s_at",0
"239733_at",0
"1556361_s_at",0
"224354_at",0
"1552658_a_at",0
"210656_at",0
"213592_at",0
"210785_s_at",0
"233355_at",0
"204823_at",0
"240737_at",0
"204365_s_at",0
"209457_at",0
"235201_at",0
"219371_s_at",0
"242904_x_at",0
"215943_at",0
"209969_s_at",0
"230043_at",0
"215675_at",0
"204794_at",0
"207119_at",0
"1565722_at",0
"204197_s_at",0
"229623_at",0
"204472_at",0
"206010_at",0
"229559_at",0
"242917_at",0
"234056_at",0
"205960_at",0
"241567_at",0
"227747_at",0
"1562950_at",0
"204787_at",0
"204200_s_at",0
"1563303_at",0
"217237_at",0
"205756_s_at",0
"1559141_s_at",0
"214712_at",0
"201044_x_at",0
"221232_s_at",0
"1569067_at",0
"214596_at",0
"214284_s_at",0
"210115_at",0
"228133_s_at",0
"237143_at",0
"1557698_at",0
"215704_at",0
"231762_at",0
"209304_x_at",0
"1559891_at",0
"235092_at",0
"209000_s_at",0
"205906_at",0
"206136_at",0
"1552321_a_at",0
"223859_at",0
"242396_at",0
"222917_s_at",0
"244037_at",0
"212285_s_at",0
"236674_at",0
"1556711_at",0
"229734_at",0
"1559663_at",0
"235852_at",0
"217691_x_at",0
"1570146_at",0
"242956_at",0
"203619_s_at",0
"243209_at",0
"236949_at",0
"218663_at",0
"238725_at",0
"205790_at",0
"201650_at",0
"219995_s_at",0
"243647_at",0
"90265_at",0
"1556653_at",0
"238673_at",0
"213308_at",0
"220312_at",0
"204750_s_at",0
"240556_at",0
"33322_i_at",0
"209616_s_at",0
"235880_at",0
"206102_at",0
"237476_at",0
"238081_at",0
"208552_at",0
"205385_at",0
"207612_at",0
"207306_at",0
"231914_at",0
"219411_at",0
"231515_at",0
"238091_at",0
"235104_at",0
"234310_s_at",0
"209873_s_at",0
"216901_s_at",0
"205903_s_at",0
"229294_at",0
"206574_s_at",0
"1558653_at",0
"205387_s_at",0
"208601_s_at",0
"236644_at",0
"233217_at",0
"227643_at",0
"232125_at",0
"205259_at",0
"229725_at",0
"230511_at",0
"227468_at",0
"215331_at",0
"220615_s_at",0
"234548_at",0
"243998_at",0
"229963_at",0
"1553688_at",0
"1563906_at",0
"234583_at",0
"237832_at",0
"219525_at",0
"241401_at",0
"215073_s_at",0
"224380_s_at",0
"214639_s_at",0
"242727_at",0
"206104_at",0
"229709_at",0
"212157_at",0
"205714_s_at",0
"222880_at",0
"241734_at",0
"1558002_at",0
"241703_at",0
"237908_at",0
"215495_s_at",0
"242522_at",0
"222922_at",0
"215847_at",0
"221252_s_at",0
"214781_at",0
"220808_at",0
"206444_at",0
"242963_at",0
"232082_x_at",0
"214498_at",0
"232687_at",0
"222871_at",0
"1556187_at",0
"224107_at",0
"237891_at",0
"1553225_s_at",0
"241369_at",0
"204422_s_at",0
"204748_at",0
"1560262_at",0
"224348_s_at",0
"217110_s_at",0
"239301_at",0
"1560865_a_at",0
"1557451_at",0
"233527_at",0
"229072_at",0
"235790_at",0
"219415_at",0
"243767_at",0
"231882_at",0
"204467_s_at",0
"237995_at",0
"229610_at",0
"202035_s_at",0
"1569193_at",0
"221319_at",0
"239822_at",0
"205158_at",0
"1561409_at",0
"39966_at",0
"240717_at",0
"228827_at",0
"230896_at",0
"232105_at",0
"244545_at",0
"202497_x_at",0
"205404_at",0
"226701_at",0
"240138_at",0
"222020_s_at",0
"237132_at",0
"238537_at",0
"220987_s_at",0
"209631_s_at",0
"219368_at",0
"243900_at",0
"204934_s_at",0
"203828_s_at",0
"228728_at",0
"1558406_a_at",0
"213629_x_at",0
"207443_at",0
"221446_at",0
"238263_at",0
"243108_at",0
"233602_at",0
"206100_at",0
"215514_at",0
"211143_x_at",0
"202340_x_at",0
"204697_s_at",0
"1570621_at",0
"1556655_s_at",0
"234604_at",0
