"gene","MeanDecreaseGini"
"210524_x_at",0.0075
"236709_at",0.0075
"236714_at",0.0075
"207571_x_at",0.0075
"214265_at",0.0075
"223653_x_at",0.0075
"203214_x_at",0.0075
"233617_at",0.0075
"203913_s_at",0.0075
"203439_s_at",0.0075
"206310_at",0.0075
"213904_at",0.0075
"235842_at",0.0075
"226225_at",0.0075
"203963_at",0.0075
"222926_at",0.0075
"233392_at",0.0075
"223519_at",0.0075
"210815_s_at",0.0075
"1569609_at",0.0075
"223233_s_at",0.0075
"223529_at",0.0075
"233301_at",0.0075
"201761_at",0.0075
"235965_at",0.0075
"227719_at",0.0075
"203809_s_at",0.0075
"208048_at",0.0075
"222722_at",0.0075
"211518_s_at",0.0075
"244231_at",0.0075
"203029_s_at",0.0075
"1556017_at",0.0075
"235236_at",0.0075
"222925_at",0.0075
"220814_at",0.0075
"1558212_at",0.0075
"238914_at",0.0075
"233520_s_at",0.0075
"216840_s_at",0.0075
"205549_at",0.0075
"239523_at",0.0075
"215058_at",0.0075
"214071_at",0.0075
"1554978_at",0.0075
"223995_at",0.0075
"215133_s_at",0.0075
"212909_at",0.006
"209016_s_at",0.006
"1555800_at",0.006
"221146_at",0.006
"215729_s_at",0.006
"204641_at",0.006
"219010_at",0.006
"201291_s_at",0.006
"203924_at",0.006
"240531_at",0.006
"219564_at",0.006
"205483_s_at",0.006
"219454_at",0.006
"226560_at",0.006
"219768_at",0.006
"221990_at",0.006
"229691_at",0.006
"1558750_a_at",0.006
"221414_s_at",0.006
"209351_at",0.006
"219476_at",0.006
"239579_at",0.006
"205342_s_at",0.006
"204015_s_at",0.006
"238018_at",0.006
"213506_at",0.006
"236534_at",0.006
"205532_s_at",0.006
"225981_at",0.006
"204754_at",0.006
"202267_at",0.006
"212992_at",0.006
"239183_at",0.006
"205774_at",0.006
"240117_at",0.006
"227099_s_at",0.006
"211011_at",0.006
"206893_at",0.006
"235182_at",0.006
"219787_s_at",0.006
"204255_s_at",0.006
"202237_at",0.006
"233562_at",0.006
"204826_at",0.006
"235209_at",0.006
"206482_at",0.006
"224818_at",0.006
"210889_s_at",0.006
"220279_at",0.006
"242831_at",0.006
"243444_at",0.006
"233932_at",0.006
"204254_s_at",0.006
"237575_at",0.006
"242909_at",0.006
"234480_at",0.006
"204281_at",0.006
"240304_s_at",0.006
"229875_at",0.006
"244655_at",0.006
"1557046_x_at",0.006
"242033_at",0.006
"229327_s_at",0.006
"1556331_a_at",0.006
"209904_at",0.006
"216228_s_at",0.006
"1562736_at",0.006
"227238_at",0.006
"1565769_at",0.006
"235886_at",0.006
"211276_at",0.006
"239942_at",0.006
"242189_at",0.006
"207603_at",0.006
"220108_at",0.006
"240127_at",0.006
"204654_s_at",0.006
"229728_at",0.006
"214414_x_at",0.006
"36499_at",0.006
"218883_s_at",0.006
"202338_at",0.006
"202095_s_at",0.0035
"219148_at",0.0035
"204858_s_at",0.0035
"206048_at",0.0035
"203074_at",0.0035
"219956_at",0.0035
"239136_at",0.0035
"203424_s_at",0.0035
"221215_s_at",0.0035
"229932_at",0.0035
"223423_at",0.0035
"205795_at",0.0035
"231195_at",0.0035
"213744_at",0.0035
"34210_at",0.0035
"229568_at",0.0035
"243907_at",0.0035
"41660_at",0.0035
"221258_s_at",0.0035
"226709_at",0.0035
"212657_s_at",0.0035
"239911_at",0.0035
"204751_x_at",0.0035
"216468_s_at",0.0035
"204846_at",0
"212531_at",0
"220196_at",0
"209959_at",0
"206140_at",0
"211695_x_at",0
"203953_s_at",0
"202286_s_at",0
"203954_x_at",0
"213201_s_at",0
"205979_at",0
"214282_at",0
"224650_at",0
"229290_at",0
"225482_at",0
"232164_s_at",0
"202859_x_at",0
"216760_at",0
"204584_at",0
